iter	Passed	Remaining
986	16177	213
987	16190	196
988	16203	180
989	16217	163
990	16230	147
991	16243	130
992	16256	114
993	16272	98
994	16285	81
995	16298	65
996	16311	49
997	16325	32
998	16341	16
999	16354	0
